timestamp,lat,lon,speed_kmh
2025-05-04T16:08:57,32.47524496167898,-111.2956053391099,0.0
2025-05-04T16:08:58,32.47526038438082,-111.29560315981507,4.0932
2025-05-04T16:08:59,32.47528100386262,-111.29560307599604,6.6024
2025-05-04T16:09:00,32.47530732303858,-111.29561145789921,7.4807999999999995
2025-05-04T16:09:01,32.47532559558749,-111.29561631940305,7.4807999999999995
2025-05-04T16:09:02,32.475350657477975,-111.29562453366816,7.732800000000001
2025-05-04T16:09:03,32.47536951676011,-111.29562629386783,7.4807999999999995
2025-05-04T16:09:04,32.47537957504392,-111.29562545567751,5.5224
2025-05-04T16:09:05,32.4753924831748,-111.29562646150589,5.3496
2025-05-04T16:09:06,32.47540329582989,-111.29563190974295,3.7188
2025-05-04T16:09:07,32.47541142627597,-111.29563299939036,3.7188
2025-05-04T16:09:07,32.47541142627597,-111.29563299939036,3.7188
2025-05-04T16:09:08,32.47541427612305,-111.29563207738101,2.5776
2025-05-04T16:09:09,32.475419556722045,-111.29563526250422,2.0916
2025-05-04T16:09:10,32.47542358003557,-111.29563534632325,1.872
2025-05-04T16:09:16,32.4754218198359,-111.2956378608942,0.8568
2025-05-04T16:09:24,32.47540321201086,-111.29564858973026,1.08
2025-05-04T16:09:25,32.47540254145861,-111.2956502661109,1.2816
2025-05-04T16:09:26,32.47540078125894,-111.2956447340548,1.3464
2025-05-04T16:09:27,32.47539767995477,-111.29565034992993,0.1512
2025-05-04T16:09:28,32.475398601964116,-111.2956468295306,0.396
2025-05-04T16:09:29,32.47539742849767,-111.29564347676933,0.5256
2025-05-04T16:09:30,32.475402038544416,-111.29564347676933,1.1088
2025-05-04T16:09:31,32.47539717704058,-111.29564138129354,0.4716
2025-05-04T16:09:32,32.47539826668799,-111.29564104601741,0.7488
2025-05-04T16:09:33,32.475398518145084,-111.29564297385514,0.27
2025-05-04T16:09:34,32.47540178708732,-111.29564205184579,1.1844000000000001
2025-05-04T16:09:35,32.475398015230894,-111.29564582370222,0.2808
