record_id,observed_active_time_s,last_lap_duration_s,censored
1,13915.0,529.14,False
2,3483.0,1445.56,False
3,4593.0,311.23,False
4,7120.0,452.9,False
5,9230.0,372.86,False
6,5512.0,368.756,True
7,331.0,330.033,False
8,11094.0,367.84,True
9,2672.0,680.58,False
10,842.0,417.1,True
11,14718.0,306.43,True
12,14837.0,426.187,True
13,13837.0,315.247,True
14,7168.0,434.213,False
15,5515.0,296.864,False
16,14758.0,351.207,True
17,14665.0,307.766,True
18,14235.0,323.58,False
19,14689.0,394.66,True
20,5887.0,529.787,True
21,14909.0,320.9,True
22,14175.0,294.49,False
23,4283.0,286.624,False
24,14897.0,1376.357,True
25,13135.0,912.287,False
26,3303.0,342.46,False
27,12819.0,657.367,False
28,13665.0,322.39,False
29,14116.0,331.077,False
30,516.0,515.233,True
31,1547.0,820.793,False
32,1876.0,660.71,False
33,12173.0,1632.246,False
34,14800.0,412.973,True
35,14872.0,305.15,True
36,14953.0,316.274,True
37,14810.0,461.714,True
38,14761.0,355.58,True
39,14362.0,266.973,False
40,5691.0,330.947,False
41,14900.0,258.17,True
42,942.0,289.323,False
43,14668.0,265.727,True
44,493.0,492.8,False
45,1870.0,408.68,False
46,14656.0,273.727,True
47,14788.0,277.68,True
48,13994.0,285.73,False
49,14853.0,318.77,True
50,14656.0,257.56,True
51,7588.0,266.363,False
52,14478.0,246.206,True
53,14431.0,252.41,False
54,1121.0,449.41,False
55,14954.0,444.26,True
56,14888.0,281.26,True
57,10462.0,3436.18,False
58,14803.0,306.09,True
59,14940.0,409.186,True
