Car Number,78
Team Name,Baja ÉTS
timestamp,lap_time_s
2025-05-04T09:28:28,279.477
2025-05-04T09:33:54,326.217
2025-05-04T09:38:20,265.800
2025-05-04T09:42:52,271.553
2025-05-04T09:47:20,268.223
2025-05-04T09:51:41,260.804
2025-05-04T09:56:08,266.893
2025-05-04T10:00:26,258.743
2025-05-04T10:04:43,256.217
2025-05-04T10:10:26,343.077
2025-05-04T10:14:50,264.120
2025-05-04T10:19:06,255.813
2025-05-04T10:23:29,263.623
2025-05-04T10:27:54,264.894
2025-05-04T10:32:17,263.290
2025-05-04T10:46:05,827.246
2025-05-04T10:50:33,268.240
2025-05-04T10:54:54,260.620
2025-05-04T10:59:29,275.194
2025-05-04T11:03:54,264.876
2025-05-04T11:08:11,257.144
2025-05-04T11:12:40,269.080
2025-05-04T11:17:26,285.890
2025-05-04T11:56:39,2352.813
2025-05-04T12:01:01,262.837
2025-05-04T12:05:30,268.930
2025-05-04T12:10:40,309.430
2025-05-04T12:15:15,275.656
2025-05-04T12:19:35,259.144
2025-05-04T12:29:06,571.530
2025-05-04T12:34:24,318.353
2025-05-04T12:43:54,570.020
2025-05-04T12:48:23,268.747
2025-05-04T12:52:51,268.006
2025-05-04T12:57:24,272.864
2025-05-04T13:01:50,266.343
2025-05-04T13:06:11,260.633
2025-05-04T13:10:36,264.507
2025-05-04T13:14:58,262.857
2025-05-04T13:19:24,265.390
2025-05-04T13:23:28,244.676
2025-05-04T13:27:50,261.240
2025-05-04T13:32:08,258.170
